,fullAddress,addressID
70603,376  SPRINGVALE ROAD ,7999707604231966032
70918,106  WATT LANE ,231398498732461120
71316,33  SANDYGATE PARK ,1405682450295380075
71779,"OAKBROOK COURT, 411 FLAT 7 FULWOOD ROAD ",5681262511636678893
72163,22A  CARSICK VIEW ROAD ,3806616433042223862
72505,305  SPRINGVALE ROAD ,6417115160446765377
72581,25  TRUSWELL AVENUE ,8406466491345556307
118450,ORIEL MOUNT 7 ORIEL ROAD ,6501566073554088909
118453,16  WORCESTER DRIVE ,7593171966767442659
122233,85  EVELYN ROAD ,3502572369415637765
122236,FULLWOOD HOUSE THE TOWER BLOCK OLD FULWOOD ROAD ,6638855194070134259
124181,171  MULEHOUSE ROAD ,760071705429507735
125650,9  BARNCLIFFE GLEN ,1486704856740014331
134377,OAKBROOK COURT 12 GRAHAM ROAD ,68457445520735816
134378,182 FLAT 1 SCHOOL ROAD ,8318748526454536792
134590,ORIEL MOUNT 10 ORIEL ROAD ,3751759107303443948
134990,2  CHAPEL TERRACE ,1039538278846631338
135322,AINSLEY COURT 1E AINSLEY ROAD ,5064804215655485040
135991,68  BRUNSWICK STREET ,4530697834419353408
136003,2  CLARKE STREET ,8280160130466381763
136007,20  ROSA ROAD ,6609272988591525340
139409,24  ROMSDAL ROAD ,3619372325504478257
139410,9  MULEHOUSE ROAD ,9136213985731785070
143721,85  BOLE HILL LANE ,600340073225176206
144590,333  GLOSSOP ROAD ,6754537741436339535
144607,62  NETHERFIELD ROAD ,3915600267731786143
144639,24  SPRING HOUSE ROAD ,9197143048671273521
145629,453  REDMIRES ROAD ,7907287480400448817
145640,46  SPRING HILL ,8285844841962090857
147391,10  ELM GARDENS ,3924519520251161114
147413,5  LYDGATE HALL CRESCENT ,8680144062809739313
148824,17  WORCESTER DRIVE ,178159401977481619
148845,14  PICKMERE ROAD ,3620671593280743436
148886,"GILLFIELD HOUSE, 1 APARTMENT 13 ELM GARDENS ",1978393894232645825
150365,3  GLADSTONE MEWS ,6412609783750255169
151863,12  CRIMICAR DRIVE ,8024751987530229673
151892,36  MOORSYDE AVENUE ,4950052581737128943
152095,"CLIFFE HOUSE, 10 FLAT 5 WHITWORTH ROAD ",2845689606809230577
152128,15  NAIRN STREET ,8328010717690735749
154093,STUMPERLOWE MANSIONS 26 STUMPERLOWE LANE ,1978026794522024733
154119,68  SOUTHGROVE ROAD ,494318508753299797
154150,49  ST FRANCIS CLOSE ,106934618643586170
155789,101  WILLIAM STREET ,5672752844216970957
156220,319  CROOKESMOOR ROAD ,841385245647336509
156228,5A  SALE HILL ,6251816724992879299
157659,20  BROOMSPRING LANE ,259378566695989874
159242,83  ST ALBANS ROAD ,5705737278724251642
159280,32  KENSINGTON DRIVE ,5740755480911669837
160279,62  SPOONER ROAD ,6200848244376832091
163198,61  CROOKES ROAD ,6129551142196491765
163920,28  TAPTON BANK ,771331087223813795
165491,72  CRIMICAR LANE ,7599896836709290998
165494,91  WILKINSON STREET ,5252097761256280566
167485,118  WILLIAM STREET ,5803268741688132725
171406,81  HALLAM GRANGE ROAD ,2370744611681434019
171412,32  ENDCLIFFE GROVE AVENUE ,9190161157001295930
171414,"NEWFIELD COURT, 588 FLAT 8 FULWOOD ROAD ",7991547303499476685
171422,90  MONA ROAD ,8118425383267660302
172149,5  WORCESTER DRIVE ,7987682837896708180
173539,179  GRAHAM ROAD ,1096536703732209965
175581,"WHITWORTH CROFT, 10A FLAT 4 WHITWORTH ROAD ",1552427547460628629
229088,74  BRUNSWICK STREET ,7225049479899407238
246777,DALEBROOK COURT 31 STUMPERLOWE CRESCENT ROAD ,8694062053564291057
246787,558  FULWOOD ROAD ,5923406085898676932
248759,136  BROOMSPRING LANE ,2307902826467909229
248777,52  MULEHOUSE ROAD ,5157526540237532250
248794,30  TAPTON MOUNT CLOSE ,8809981918264182161
250720,4  TASKER ROAD ,2590948868862217996
250726,27  MELBOURN ROAD ,5379761838524742013
250732,153  CROSS LANE ,451529709129751930
250757,27  CROOKES ROAD ,6141480322689215435
251076,68  NORTHFIELD COURT ,6238089641551833963
252721,86  IVY PARK ROAD ,8289547905763677690
252737,8  DELPH HOUSE ROAD ,5485494659138017984
252952,21  VERNON TERRACE ,7737840541308877241
252958,26  LEAMINGTON STREET ,6666007210104392253
252960,11  WARWICK TERRACE ,7211712472049606775
254216,STORTHWOOD COURT 21 STORTH LANE ,5268986426097791151
254462,118  COBDEN VIEW ROAD ,3233496279045800235
254469,40  STOTHARD ROAD ,3600127450116419546
255317,88  BLAKENEY ROAD ,323963043491758425
255433,47  CHORLEY DRIVE ,8323114107745495369
